date,open,high,low,close,volume,<VOL>,<SPREAD>,candle_type,body_ratio
2018-02-12,1.22443,1.22972,1.22349,1.22928,73439,0,0,decisive,0.7784911717496074
2018-02-13,1.22881,1.23709,1.22842,1.23509,36912,0,0,decisive,0.7243367935409568
2018-02-14,1.23497,1.2465,1.22757,1.24486,47190,0,0,decisive,0.5224511357633509
2018-02-15,1.24491,1.25098,1.24478,1.25038,44908,0,0,explosive,0.8822580645161453
2018-02-16,1.25023,1.2555,1.23935,1.24096,43822,0,0,decisive,0.5739938080495249
2018-02-19,1.23997,1.24347,1.23689,1.24058,29778,0,0,base,0.09270516717325177
2018-02-20,1.24037,1.2412,1.23198,1.23359,38052,0,0,decisive,0.7353579175704993
2018-02-21,1.2336,1.23598,1.2281,1.22825,41071,0,0,decisive,0.6789340101522705
2018-02-22,1.22828,1.23518,1.22597,1.23282,38577,0,0,base,0.4929424538545079
2018-02-23,1.23234,1.23367,1.22797,1.22963,33026,0,0,base,0.47543859649122316
2018-02-26,1.22932,1.23546,1.2278,1.23157,34614,0,0,base,0.2937336814621521
2018-02-27,1.2315,1.23459,1.22215,1.22319,39163,0,0,decisive,0.66800643086817
2018-02-28,1.22312,1.22407,1.21878,1.2192,35947,0,0,decisive,0.7410207939508339
2018-03-01,1.2194,1.22727,1.21549,1.22672,41251,0,0,decisive,0.6213921901527942
2018-03-02,1.22672,1.23357,1.22513,1.23215,36371,0,0,decisive,0.6433649289099578
2018-03-05,1.23333,1.23644,1.22688,1.23345,41453,0,0,base,0.012552301255219436
2018-03-06,1.23345,1.24196,1.23289,1.2404,36049,0,0,decisive,0.7662624035281235
2018-03-07,1.24072,1.2444,1.23848,1.24106,34968,0,0,base,0.05743243243243433
2018-03-08,1.24106,1.2446,1.2298,1.23115,40503,0,0,decisive,0.6695945945946038
2018-03-09,1.23106,1.23339,1.22729,1.23048,35066,0,0,base,0.09508196721311893
2018-03-12,1.23102,1.23451,1.22903,1.23342,26565,0,0,base,0.43795620437955995
2018-03-13,1.23352,1.24072,1.23143,1.23918,30822,0,0,decisive,0.6092572658772859
2018-03-14,1.23929,1.24126,1.23471,1.23665,30257,0,0,base,0.40305343511449665
2018-03-15,1.23651,1.23834,1.23001,1.23042,29823,0,0,decisive,0.7310924369747859
2018-03-16,1.23055,1.23359,1.226,1.22891,28144,0,0,base,0.21607378129118432
2018-03-19,1.22874,1.23583,1.2258,1.23339,31370,0,0,base,0.4636091724825574
2018-03-20,1.23323,1.23543,1.22398,1.22434,30739,0,0,decisive,0.7764192139738074
2018-03-21,1.22441,1.23495,1.22417,1.23381,37332,0,0,explosive,0.8719851576994494
2018-03-22,1.234,1.23882,1.22855,1.23051,43050,0,0,base,0.3398247322297948
2018-03-23,1.23092,1.23729,1.23081,1.23529,51236,0,0,decisive,0.674382716049376
2018-03-26,1.24435,1.24614,1.24417,1.24475,4824,0,0,base,0.20304568527916264
2018-03-27,1.24477,1.2476,1.23726,1.24061,31372,0,0,base,0.4023210831721407
2018-03-28,1.24045,1.24214,1.23,1.23098,31036,0,0,decisive,0.7800658978583245
2018-03-29,1.23099,1.23353,1.22838,1.23018,31657,0,0,base,0.15728155339805425
2018-03-30,1.2301,1.23302,1.22953,1.23261,16649,0,0,decisive,0.7191977077363946
2018-04-02,1.2317,1.2334,1.22821,1.23013,11688,0,0,base,0.30250481695569614
2018-04-03,1.23031,1.23346,1.22539,1.22678,28386,0,0,base,0.4374225526641913
2018-04-04,1.22678,1.23145,1.2257,1.22788,27372,0,0,base,0.1913043478261071
2018-04-05,1.22788,1.22898,1.22183,1.22401,26501,0,0,decisive,0.5412587412587476
2018-04-06,1.2237,1.22905,1.22157,1.22804,32397,0,0,decisive,0.5802139037433223
2018-04-09,1.22815,1.23295,1.22606,1.23193,29449,0,0,decisive,0.5486211901306038
2018-04-10,1.23183,1.23773,1.23028,1.23543,31319,0,0,base,0.4832214765100763
2018-04-11,1.23525,1.23955,1.23472,1.23675,29061,0,0,base,0.310559006211199
2018-04-12,1.23648,1.23794,1.22996,1.23261,30091,0,0,base,0.48496240601503665
2018-04-13,1.23265,1.23457,1.23071,1.23299,25214,0,0,base,0.08808290155440653
