<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.26	08:00:00	1.10147	1.10199	1.10113	1.10143	16158	0	0
2019.11.26	12:00:00	1.10143	1.10250	1.10136	1.10173	13863	0	0
2019.11.26	16:00:00	1.10172	1.10219	1.10071	1.10200	22180	0	0
2019.11.26	20:00:00	1.10200	1.10256	1.10174	1.10232	8385	0	0
2019.11.27	00:00:00	1.10221	1.10249	1.10152	1.10162	6775	0	0
2019.11.27	04:00:00	1.10162	1.10181	1.10081	1.10096	4512	0	0
2019.11.27	08:00:00	1.10095	1.10142	1.10029	1.10091	13127	0	0
2019.11.27	12:00:00	1.10091	1.10133	1.09985	1.10020	18139	0	0
2019.11.27	16:00:00	1.10020	1.10058	1.09923	1.10002	22701	0	0
2019.11.27	20:00:00	1.10002	1.10073	1.09969	1.09986	10793	0	0
2019.11.28	00:00:00	1.10011	1.10104	1.10002	1.10071	8528	0	0
2019.11.28	04:00:00	1.10071	1.10081	1.10040	1.10070	3824	0	0
2019.11.28	08:00:00	1.10070	1.10179	1.10054	1.10138	12222	0	0
2019.11.28	12:00:00	1.10138	1.10153	1.10004	1.10083	13909	0	0
2019.11.28	16:00:00	1.10083	1.10099	1.10020	1.10078	6575	0	0
2019.11.28	20:00:00	1.10078	1.10109	1.10061	1.10078	8354	0	0
2019.11.29	00:00:00	1.10084	1.10125	1.10080	1.10116	4279	0	0
2019.11.29	04:00:00	1.10116	1.10128	1.10089	1.10102	4347	0	0
2019.11.29	08:00:00	1.10103	1.10134	1.10021	1.10047	11800	0	0
2019.11.29	12:00:00	1.10047	1.10071	1.09812	1.09924	15600	0	0
2019.11.29	16:00:00	1.09924	1.10284	1.09899	1.10160	25608	0	0
2019.11.29	20:00:00	1.10161	1.10233	1.10148	1.10178	14473	0	0
2019.12.02	00:00:00	1.10236	1.10240	1.10152	1.10181	5929	0	0
2019.12.02	04:00:00	1.10182	1.10212	1.10166	1.10191	3683	0	0
2019.12.02	08:00:00	1.10191	1.10227	1.10112	1.10141	15607	0	0
2019.12.02	12:00:00	1.10141	1.10366	1.10029	1.10326	17533	0	0
2019.12.02	16:00:00	1.10326	1.10898	1.10326	1.10748	35128	0	0
2019.12.02	20:00:00	1.10748	1.10850	1.10701	1.10787	11421	0	0
2019.12.03	00:00:00	1.10783	1.10825	1.10713	1.10724	7362	0	0
2019.12.03	04:00:00	1.10723	1.10783	1.10713	1.10733	5829	0	0
2019.12.03	08:00:00	1.10733	1.10869	1.10721	1.10838	16404	0	0
2019.12.03	12:00:00	1.10838	1.10862	1.10660	1.10722	23519	0	0
2019.12.03	16:00:00	1.10722	1.10935	1.10699	1.10883	27497	0	0
2019.12.03	20:00:00	1.10883	1.10907	1.10792	1.10805	8483	0	0
2019.12.04	00:00:00	1.10802	1.10845	1.10767	1.10794	9232	0	0
2019.12.04	04:00:00	1.10793	1.10813	1.10737	1.10753	5340	0	0
2019.12.04	08:00:00	1.10753	1.10880	1.10668	1.10726	25818	0	0
2019.12.04	12:00:00	1.10727	1.11077	1.10675	1.11071	22796	0	0
2019.12.04	16:00:00	1.11071	1.11162	1.10682	1.10778	31938	0	0
2019.12.04	20:00:00	1.10778	1.10805	1.10673	1.10762	8798	0	0
2019.12.05	00:00:00	1.10792	1.10853	1.10772	1.10842	6803	0	0
2019.12.05	04:00:00	1.10842	1.10869	1.10812	1.10833	4797	0	0
