<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.13	1.13099	1.13194	1.12602	1.12866	59667	0	0
2021.12.14	1.12827	1.13237	1.12538	1.12566	71843	0	0
2021.12.15	1.12559	1.12993	1.12214	1.12935	96174	0	0
2021.12.16	1.12869	1.13604	1.12811	1.13318	88414	0	0
2021.12.17	1.13265	1.13490	1.12351	1.12374	74681	0	0
2021.12.20	1.12359	1.13038	1.12347	1.12771	77257	0	0
2021.12.21	1.12774	1.13026	1.12608	1.12810	65997	0	0
2021.12.22	1.12861	1.13423	1.12643	1.13283	66538	0	0
2021.12.23	1.13220	1.13422	1.12900	1.13279	60069	0	0
2021.12.24	1.13224	1.13436	1.13064	1.13100	70055	0	0
2021.12.27	1.13181	1.13346	1.13030	1.13263	39879	0	0
2021.12.28	1.13220	1.13332	1.12896	1.13089	45786	0	0
2021.12.29	1.13078	1.13689	1.12738	1.13476	65034	0	0
2021.12.30	1.13442	1.13598	1.12984	1.13245	56470	0	0
2021.12.31	1.13208	1.13863	1.13033	1.13847	54994	0	0
2022.01.03	1.13618	1.13662	1.12797	1.12978	66395	0	0
2022.01.04	1.12937	1.13224	1.12724	1.12862	81136	0	0
2022.01.05	1.12840	1.13465	1.12770	1.13130	75139	0	0
2022.01.06	1.13110	1.13319	1.12845	1.12986	80037	0	0
2022.01.07	1.12959	1.13648	1.12901	1.13594	71942	0	0
2022.01.10	1.13554	1.13603	1.12850	1.13296	82846	0	0
2022.01.11	1.13240	1.13754	1.13128	1.13691	72166	0	0
2022.01.12	1.13654	1.14528	1.13546	1.14403	99491	0	0
2022.01.13	1.14403	1.14817	1.14358	1.14548	107052	0	0
2022.01.14	1.14550	1.14828	1.13984	1.14163	120212	0	0
2022.01.17	1.14124	1.14345	1.13918	1.14053	68995	0	0
2022.01.18	1.14070	1.14216	1.13146	1.13277	145019	0	0
2022.01.19	1.13236	1.13571	1.13189	1.13435	120483	0	0
2022.01.20	1.13421	1.13690	1.13031	1.13100	121695	0	0
2022.01.21	1.13104	1.13599	1.13009	1.13421	119071	0	0
2022.01.24	1.13394	1.13451	1.12903	1.13254	153360	0	0
2022.01.25	1.13211	1.13286	1.12632	1.13027	131994	0	0
2022.01.26	1.12993	1.13107	1.12355	1.12423	159083	0	0
2022.01.27	1.12408	1.12434	1.11313	1.11437	167593	0	0
2022.01.28	1.11452	1.11736	1.11214	1.11476	157893	0	0
2022.01.31	1.11449	1.12478	1.11380	1.12334	146853	0	0
2022.02.01	1.12322	1.12789	1.12208	1.12730	143033	0	0
2022.02.02	1.12692	1.13300	1.12665	1.13054	111460	0	0
2022.02.03	1.13041	1.14514	1.12669	1.14392	195434	0	0
2022.02.04	1.14331	1.14837	1.14116	1.14520	177877	0	0
2022.02.07	1.14577	1.14611	1.14151	1.14394	99836	0	0
2022.02.08	1.14371	1.14488	1.13963	1.14171	59747	0	0
2022.02.09	1.14140	1.14478	1.14025	1.14233	50347	0	0
2022.02.10	1.14208	1.14949	1.13748	1.14289	74280	0	0
2022.02.11	1.14277	1.14298	1.13296	1.13475	83371	0	0
2022.02.14	1.13380	1.13692	1.12798	1.13077	170345	0	0
2022.02.15	1.13024	1.13682	1.13008	1.13594	130384	0	0
2022.02.16	1.13566	1.13958	1.13449	1.13732	122849	0	0
2022.02.17	1.13741	1.13861	1.13232	1.13616	172650	0	0
2022.02.18	1.13627	1.13772	1.13143	1.13231	125923	0	0
2022.02.21	1.13228	1.13905	1.13067	1.13106	101124	0	0
2022.02.22	1.13091	1.13668	1.12879	1.13261	172658	0	0
2022.02.23	1.13266	1.13590	1.13011	1.13033	103484	0	0
2022.02.24	1.13047	1.13088	1.11062	1.11929	356390	0	0
2022.02.25	1.11926	1.12741	1.11659	1.12722	216645	0	0
2022.02.28	1.11431	1.12465	1.11422	1.12195	272248	0	0
2022.03.01	1.12188	1.12331	1.10896	1.11236	219639	0	0
2022.03.02	1.11196	1.11437	1.10574	1.11240	246117	0	0
2022.03.03	1.11149	1.11217	1.10334	1.10662	164330	0	0
2022.03.04	1.10647	1.10680	1.08855	1.09310	235315	0	0
2022.03.07	1.09234	1.09326	1.08060	1.08523	323240	0	0
2022.03.08	1.08522	1.09583	1.08487	1.09023	363136	0	0
2022.03.09	1.08953	1.10952	1.08899	1.10732	263290	0	0
2022.03.10	1.10685	1.11213	1.09762	1.09876	307209	0	0
2022.03.11	1.09867	1.10434	1.09019	1.09142	274846	0	0
2022.03.14	1.09228	1.09938	1.09003	1.09393	218124	0	0
2022.03.15	1.09402	1.10201	1.09254	1.09459	254701	0	1
2022.03.16	1.09524	1.10467	1.09476	1.10365	290136	0	1
2022.03.17	1.10332	1.11374	1.10071	1.10909	176751	0	1
2022.03.18	1.10907	1.11186	1.10030	1.10497	194193	0	1
2022.03.21	1.10569	1.10702	1.10101	1.10163	164178	0	1
2022.03.22	1.10139	1.10457	1.09608	1.10296	210950	0	1
2022.03.23	1.10260	1.10439	1.09639	1.10092	176995	0	1
2022.03.24	1.10077	1.10137	1.09656	1.09976	188476	0	1
2022.03.25	1.09954	1.10378	1.09808	1.09846	194627	0	0
2022.03.28	1.09857	1.09994	1.09445	1.09857	224099	0	1
2022.03.29	1.09828	1.11373	1.09686	1.10871	310884	0	0
2022.03.30	1.10818	1.11710	1.10786	1.11594	228399	0	1
2022.03.31	1.11566	1.11848	1.10609	1.10668	260103	0	1
2022.04.01	1.10625	1.10760	1.10279	1.10451	205654	0	1
2022.04.04	1.10393	1.10544	1.09604	1.09729	164259	0	1
2022.04.05	1.09724	1.09885	1.08998	1.09052	153459	0	1
2022.04.06	1.09036	1.09380	1.08743	1.08976	198834	0	1
2022.04.07	1.08926	1.09383	1.08644	1.08815	190052	0	1
2022.04.08	1.08772	1.08918	1.08364	1.08751	160243	0	1
2022.04.11	1.09050	1.09333	1.08726	1.08836	166301	0	1
2022.04.12	1.08809	1.09037	1.08212	1.08270	84422	0	0
2022.04.13	1.08251	1.08944	1.08089	1.08914	63615	0	0
2022.04.14	1.08829	1.09234	1.07572	1.08308	93861	0	1
2022.04.15	1.08289	1.08297	1.07958	1.08047	44823	0	1
2022.04.18	1.08027	1.08217	1.07699	1.07809	126872	0	1
2022.04.19	1.07769	1.08145	1.07610	1.07901	183329	0	0
2022.04.20	1.07862	1.08670	1.07818	1.08519	215243	0	1
2022.04.21	1.08476	1.09363	1.08235	1.08352	230425	0	1
2022.04.22	1.08346	1.08515	1.07706	1.08011	240426	0	1
2022.04.25	1.08047	1.08143	1.06966	1.07110	302952	0	1
2022.04.26	1.07093	1.07386	1.06363	1.06371	221909	0	1
2022.04.27	1.06361	1.06549	1.05144	1.05604	275705	0	0
2022.04.28	1.05581	1.05648	1.04711	1.04991	352027	0	1
2022.04.29	1.04975	1.05930	1.04910	1.05461	268341	0	0
2022.05.02	1.05429	1.05686	1.04901	1.05075	220121	0	0
2022.05.03	1.05020	1.05777	1.04921	1.05207	182062	0	0
2022.05.04	1.05191	1.06307	1.05059	1.06213	182757	0	0
2022.05.05	1.06227	1.06418	1.04926	1.05409	269233	0	0
2022.05.06	1.05383	1.05988	1.04828	1.05437	291657	0	0
2022.05.09	1.05327	1.05926	1.04949	1.05602	268368	0	0
2022.05.10	1.05554	1.05854	1.05253	1.05285	293625	0	0
2022.05.11	1.05271	1.05770	1.05017	1.05127	297411	0	1
2022.05.12	1.05111	1.05294	1.03533	1.03815	198173	0	0
2022.05.13	1.03741	1.04198	1.03491	1.04081	139242	0	0
2022.05.16	1.03970	1.04430	1.03888	1.04345	128265	0	1
2022.05.17	1.04288	1.05557	1.04283	1.05502	179223	0	1
2022.05.18	1.05458	1.05638	1.04611	1.04645	159524	0	1
2022.05.19	1.04603	1.06070	1.04581	1.05836	219508	0	1
2022.05.20	1.05781	1.05988	1.05327	1.05580	152849	0	0
2022.05.23	1.05585	1.06974	1.05548	1.06914	169066	0	1
2022.05.24	1.06818	1.07486	1.06608	1.07356	179742	0	1
2022.05.25	1.07292	1.07391	1.06420	1.06800	188681	0	1
2022.05.26	1.06743	1.07317	1.06625	1.07287	148085	0	0
2022.05.27	1.07211	1.07652	1.06969	1.07313	108060	0	0
2022.05.30	1.07331	1.07868	1.07248	1.07798	54053	0	1
2022.05.31	1.07748	1.07781	1.06790	1.07339	132038	0	0
2022.06.01	1.07298	1.07393	1.06272	1.06522	101068	0	0
2022.06.02	1.06438	1.07501	1.06438	1.07498	72498	0	0
2022.06.03	1.07438	1.07644	1.07040	1.07166	78689	0	0
2022.06.06	1.07186	1.07519	1.06838	1.06931	67173	0	1
2022.06.07	1.06897	1.07142	1.06519	1.07058	89410	0	1
2022.06.08	1.07017	1.07484	1.06712	1.07165	87633	0	1
2022.06.09	1.07155	1.07738	1.06110	1.06192	128464	0	0
2022.06.10	1.06143	1.06421	1.05056	1.05207	135791	0	1
2022.06.13	1.05149	1.05200	1.03989	1.04084	141790	0	0
2022.06.14	1.04052	1.04847	1.03970	1.04168	151489	0	1
2022.06.15	1.04105	1.05075	1.03589	1.04445	212499	0	1
2022.06.16	1.04411	1.06015	1.03808	1.05521	159231	0	0
2022.06.17	1.05467	1.05559	1.04444	1.04962	135847	0	0
2022.06.20	1.04832	1.05459	1.04744	1.05097	78293	0	1
2022.06.21	1.05043	1.05825	1.05037	1.05350	116483	0	1
2022.06.22	1.05341	1.06059	1.04686	1.05678	148459	0	0
2022.06.23	1.05657	1.05811	1.04826	1.05215	181083	0	0
2022.06.24	1.05180	1.05712	1.05120	1.05536	112903	0	1
2022.06.27	1.05470	1.06149	1.05470	1.05828	111730	0	1
2022.06.28	1.05829	1.06061	1.05031	1.05213	135327	0	0
2022.06.29	1.05183	1.05355	1.04352	1.04415	147259	0	0
2022.06.30	1.04420	1.04889	1.03824	1.04831	178203	0	0
2022.07.01	1.04763	1.04851	1.03652	1.04263	174676	0	1
2022.07.04	1.04194	1.04626	1.04162	1.04218	95495	0	1
2022.07.05	1.04169	1.04489	1.02351	1.02658	182639	0	0
2022.07.06	1.02646	1.02755	1.01613	1.01840	218346	0	0
2022.07.07	1.01815	1.02211	1.01442	1.01629	162368	0	1
2022.07.08	1.01602	1.01914	1.00716	1.01832	169705	0	1
2022.07.11	1.01751	1.01836	1.00334	1.00412	160941	0	0
2022.07.12	1.00348	1.00739	1.00000	1.00365	193665	0	0
2022.07.13	1.00346	1.01158	0.99977	1.00573	214782	0	0
2022.07.14	1.00539	1.00588	0.99522	1.00216	255242	0	0
2022.07.15	1.00167	1.00979	1.00067	1.00859	184151	0	0
2022.07.18	1.00824	1.02014	1.00786	1.01457	162123	0	0
2022.07.19	1.01384	1.02692	1.01194	1.02266	187706	0	0
2022.07.20	1.02280	1.02731	1.01554	1.01797	167781	0	0
2022.07.21	1.01743	1.02779	1.01538	1.02267	205904	0	0
2022.07.22	1.02260	1.02554	1.01298	1.02107	205488	0	0
2022.07.25	1.02050	1.02579	1.01789	1.02216	177517	0	0
2022.07.26	1.02165	1.02502	1.01075	1.01160	144985	0	0
